Week,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Player-additional
19,Matthew Stafford,LAR,25,36,367,15,39.5,335,9.3,160,6.4,4.4,207,8.3,0,0.0%,6,17.6%,2,10,0,5,7,18.4%,0,,StafMa00
18,Nick Mullens,MIN,30,44,396,15,31.3,400,9.1,255,8.5,5.8,141,4.7,0,0.0%,6,14.0%,4,18,3,11,18,36.7%,1,6.0,MullNi00
17,Dak Prescott,DAL,26,38,345,12,29.3,394,10.4,185,7.1,4.9,160,6.2,2,5.3%,7,18.4%,3,17,6,4,13,31.0%,1,5.0,PresDa01
16,Nick Mullens,MIN,22,36,411,15,37.5,527,14.6,301,13.7,8.4,110,5.0,0,0.0%,9,25.7%,4,14,4,6,14,34.1%,1,1.0,MullNi00
15,Russell Wilson,DEN,18,32,223,12,35.3,232,7.3,86,4.8,2.7,137,7.6,2,6.3%,4,12.5%,2,15,5,6,13,37.1%,1,1.0,WilsRu00
